Customer ID,TotalSpent,Frequency,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency
12346.0,169.36,2,2010-03-02 13:08:00,2010-06-28 13:53:00,118,164
12347.0,1323.32,2,2010-10-31 14:20:00,2010-12-07 14:57:00,37,2
12348.0,221.16,1,2010-09-27 14:59:00,2010-09-27 14:59:00,1,73
12349.0,2221.14,2,2010-04-29 13:20:00,2010-10-28 08:23:00,181,42
12351.0,300.93,1,2010-11-29 15:23:00,2010-11-29 15:23:00,1,10
12352.0,343.8,2,2010-11-12 10:20:00,2010-11-29 10:07:00,16,10
12353.0,317.76,1,2010-10-27 12:44:00,2010-10-27 12:44:00,1,43
12355.0,488.21,1,2010-05-21 11:59:00,2010-05-21 11:59:00,1,202
12356.0,3126.25,3,2010-10-11 09:42:00,2010-11-24 12:24:00,44,15
12358.0,2519.01,3,2009-12-08 07:59:00,2010-11-29 10:56:00,356,10
12359.0,2563.36,6,2009-12-05 13:32:00,2010-10-10 11:16:00,308,60
12360.0,1310.83,3,2010-02-22 09:32:00,2010-11-12 11:31:00,263,27
12361.0,276.35,3,2010-01-26 14:37:00,2010-09-03 15:19:00,220,97
12366.0,500.24,1,2010-03-16 10:28:00,2010-03-16 10:28:00,1,268
12368.0,917.7,1,2010-03-21 15:56:00,2010-03-21 15:56:00,1,263
12369.0,1511.15,3,2010-03-08 08:09:00,2010-10-22 13:13:00,228,48
12370.0,534.62,3,2010-02-09 09:41:00,2010-03-25 12:10:00,44,259
12371.0,1819.42,3,2010-03-04 18:23:00,2010-10-26 13:37:00,235,44
12373.0,603.0500000000001,2,2010-02-04 12:08:00,2010-03-25 13:49:00,49,259
12374.0,2046.29,2,2010-04-30 14:01:00,2010-10-14 10:16:00,166,56
12376.0,383.15,2,2010-10-18 08:42:00,2010-11-15 12:15:00,28,24
12377.0,1718.2,2,2010-04-29 15:34:00,2010-11-23 19:24:00,208,16
12378.0,1407.7,1,2010-05-26 14:07:00,2010-05-26 14:07:00,1,197
12379.0,692.98,2,2010-06-23 12:49:00,2010-10-13 14:46:00,112,57
12385.0,1668.4,1,2010-11-25 15:14:00,2010-11-25 15:14:00,1,14
12386.0,258.9,1,2010-12-08 09:53:00,2010-12-08 09:53:00,1,1
12387.0,143.94,1,2010-10-20 16:27:00,2010-10-20 16:27:00,1,50
12388.0,1120.45,2,2010-05-06 12:54:00,2010-09-20 12:41:00,136,80
12389.0,1433.33,3,2010-02-22 10:15:00,2010-11-02 11:52:00,253,37
12391.0,2312.53,5,2010-02-15 10:12:00,2010-09-01 12:38:00,198,99
12392.0,234.75000000000003,1,2010-04-27 14:04:00,2010-04-27 14:04:00,1,226
12393.0,816.85,2,2010-10-07 13:49:00,2010-11-22 16:10:00,46,17
12395.0,1868.64,4,2010-04-16 10:16:00,2010-12-03 16:35:00,231,6
12396.0,931.43,1,2010-02-03 13:22:00,2010-02-03 13:22:00,1,309
12399.0,808.65,3,2010-03-05 08:45:00,2010-11-19 08:53:00,259,20
12400.0,205.25,1,2010-10-21 13:45:00,2010-10-21 13:45:00,1,49
12402.0,941.3,5,2010-02-07 12:41:00,2010-11-12 09:50:00,277,27
12403.0,555.6600000000001,1,2010-07-06 11:39:00,2010-07-06 11:39:00,1,156
12406.0,2975.06,3,2010-01-11 14:04:00,2010-11-05 11:42:00,297,34
12408.0,1287.22,3,2010-07-29 13:27:00,2010-11-19 13:21:00,112,20
12410.0,240.38,1,2010-07-25 13:26:00,2010-07-25 13:26:00,1,137
12411.0,346.9,1,2010-10-26 09:25:00,2010-10-26 09:25:00,1,44
12412.0,1262.05,3,2010-06-18 13:22:00,2010-11-02 17:02:00,137,37
12413.0,185.35,1,2010-11-02 13:26:00,2010-11-02 13:26:00,1,37
12414.0,90.0,1,2010-09-02 12:22:00,2010-09-02 12:22:00,1,98
12416.0,202.56,1,2010-02-21 10:19:00,2010-02-21 10:19:00,1,291
12417.0,2791.81,11,2009-12-06 10:30:00,2010-10-25 14:27:00,323,45
12418.0,1352.62,3,2010-03-19 14:47:00,2010-10-22 10:29:00,216,48
12419.0,391.01,2,2010-10-22 10:40:00,2010-11-19 10:04:00,27,20
12421.0,235.56,2,2010-07-22 13:57:00,2010-10-20 14:28:00,90,50
12422.0,2955.79,9,2009-12-18 12:44:00,2010-11-10 13:19:00,327,29
12423.0,667.08,2,2010-08-31 09:31:00,2010-11-17 11:33:00,78,22
12424.0,1579.07,2,2010-06-09 15:15:00,2010-10-13 10:29:00,125,57
12425.0,964.21,1,2010-09-17 14:10:00,2010-09-17 14:10:00,1,83
12426.0,690.48,1,2010-02-15 08:41:00,2010-02-15 08:41:00,1,297
12427.0,249.5,1,2010-12-03 10:44:00,2010-12-03 10:44:00,1,6
12429.0,3591.51,5,2010-06-11 13:28:00,2010-12-09 12:05:00,180,0
12434.0,297.29,1,2010-11-23 13:38:00,2010-11-23 13:38:00,1,16
12439.0,1158.18,2,2009-12-14 08:40:00,2010-01-26 12:11:00,43,317
12440.0,739.2,2,2009-12-22 12:03:00,2010-09-03 13:11:00,255,97
12441.0,155.55,1,2010-12-08 10:45:00,2010-12-08 10:45:00,1,1
12443.0,365.31,1,2009-12-07 15:42:00,2009-12-07 15:42:00,1,367
12445.0,301.58000000000004,1,2010-10-15 12:28:00,2010-10-15 12:28:00,1,55
12449.0,678.6,1,2010-09-27 09:37:00,2010-09-27 09:37:00,1,73
12450.0,490.32,3,2010-08-22 13:11:00,2010-11-05 16:27:00,75,34
12451.0,3634.36,3,2010-06-28 12:58:00,2010-09-02 15:38:00,66,98
12455.0,3383.09,4,2009-12-18 12:33:00,2010-09-20 14:39:00,276,80
12457.0,512.68,1,2010-09-30 17:59:00,2010-09-30 17:59:00,1,70
12458.0,715.09,2,2010-08-09 10:33:00,2010-10-08 11:36:00,60,62
